shift,question,options,answer,subject,chapter
29 Jan Shift 1,"Let x 1 ,x 2 ,…,x 10 be ten observations such that ∑1 i= 0 1 (x i −2) = 30,∑1 i= 0 1 (x i −β)2 = 98,β > 2, and their variance is 4 5 . If μ and σ2 are respectively the mean and the variance of 2(x 1 −1)+4β, 2(x 2 −1)+4β,….,2(x 10 −1)+4β, then β σ μ 2 is equal to :",(1) 100 | (2) 120 | (3) 110 | (4) 90,1,math,Statistics
29 Jan Shift 1,"Consider an A. P. of positive integers, whose sum of the first three terms is 54 and the sum of the first twenty terms lies between 1600 and 1800. Then its 11th term is :",(1) 90 | (2) 84 | (3) 122 | (4) 108,1,math,Sequences & Series
29 Jan Shift 1,The number of solutions of the equation (9 − 9 +2)(2 − 7 +3) = 0 is: x √x x √x,(1) 2 | (2) 3 | (3) 1 | (4) 4,4,math,Quadratic Equations / Algebra
29 Jan Shift 1,"Define a relation R on the interval [0, π) by xRy if and only if sec2x−tan2y = 1. Then R is : 2",(1) both reflexive and transitive but not symmetric | (2) an equivalence relation | (3) reflexive but neither symmetric not transitive | (4) both reflexive and symmetric but not transitive,2,math,Relations & Functions
29 Jan Shift 1,"Two parabolas have the same focus (4,3) and their directrices are the x-axis and the y-axis, respectively. If these parabolas intersects at the points A and B, then (AB)2 is equal to :",(1) 392 | (2) 384 | (3) 192 | (4) 96,3,math,Conic Sections (Parabola)
29 Jan Shift 1,"Let P be the set of seven digit numbers with sum of their digits equal to 11 . If the numbers in P are formed by using the digits 1,2 and 3 only, then the number of elements in the set P is :",(1) 173 | (2) 164 | (3) 158 | (4) 161,4,math,Permutation & Combination
29 Jan Shift 1,"Let → a =^i+2^j+k^ and → b = 2^i+7^j+3k^. Let L 1 : → r = (−^i+2^j+k^)+λ → a,λ ∈ R and L 2 : → r = (^j+k^)+μ → b,μ ∈ R be two lines. If the line L 3 passes through the point of intersection of L 1 and L 2, and is parallel to a→+ → b, then L 3 passes through the point :","(1) | (2) | (3) | (4) (−1,−1,1)",3,math,3D Geometry (Lines)
29 Jan Shift 1,"Let → a = 2^i−^j+3k^, → b = 3^i−5^j+k^ and → c be a vector such that → a× → c = → c× → b and (a→+c→)⋅( → b+c→) = 168. Then the maximum value of |c→|2 is :",(1) 462 | (2) 77 | (3) 154 | (4) 308 π,4,math,Vector Algebra
29 Jan Shift 1,The integral 80∫ 4 ( sinθ+cosθ )dθ is equal to : 0 9+16sin2θ,(1) 3log 4 | (2) 4log 3 e e | (3) 6log 4 | (4) 2log 3 e e ∣ ∣ 2 025,2,math,Integration
29 Jan Shift 1,"Let the ellipse E 1 : x a2 2 + y b 2 2 = 1,a > b and E 2 : x A 2 2 + y B 2 2 = 1, A < B have same eccentricity √ 1 3 . Let the product of their lengths of latus rectums be √ 32 3 , and the distance between the foci of E 1 be 4. If E 1 and E 2 meet at A,B,C and D, then the area of the quadrilateral ABCD equals :",(1) 12√6 | (2) 6√6 5 18√6 24√6 | (3) | (4) 5 5 log 128 log 5,4,math,Conic Sections (Ellipse)
